	TCGA-A6-2671-01A	TCGA-A6-2675-01A	TCGA-A6-2678-01A	TCGA-A6-2679-01A	TCGA-A6-2680-01A	TCGA-A6-2671-11A	TCGA-A6-2675-11A	TCGA-A6-2678-11A	TCGA-A6-2679-11A	TCGA-A6-2680-11A
CXorf40B	416	764	243	140	423	684	451	613	542	510
CXorf56	635	1278	820	78	529	1068	809	1276	882	1220
CXorf57	25	53	66	0	20	51	103	91	67	155
CYB561	2686	5194	4320	431	2333	4772	2939	4673	4505	7097
CYB561A3	682	2155	1209	327	778	4151	1667	4472	4317	4814
CYB561D1	325	840	470	81	260	1824	1218	2235	1251	2271
CYB561D2	646	999	949	477	546	1819	721	1396	1570	1607
CYB5A	1705	1313	1347	598	1640	3811	2946	4745	2890	18736
CYB5B	3445	8669	8938	789	5600	6234	4341	5720	4898	6686
CYB5D1	66	75	18	5	21	79	99	113	70	89
CYB5D2	196	384	308	59	225	986	528	1032	651	1249
CYB5R1	449	1305	887	186	682	1558	1305	1808	1345	1883
CYB5R2	371	144	233	68	75	236	147	247	198	202
CYB5R3	4796	8409	3369	1556	3984	14417	12256	11221	11309	15490
CYB5R4	341	1370	991	42	320	1538	988	1775	1551	1366
CYB5RL	142	212	228	38	72	149	183	284	150	70
CYBA	7127	6408	2071	6510	7123	14273	4488	9457	14999	4823
CYBB	834	3213	1301	60	577	1702	1067	2716	3458	1233
CYBRD1	641	3285	706	42	448	5713	7474	7925	4220	90818
CYC1	17156	6802	6334	3595	11150	15104	6527	12677	11530	10937
CYCS	3060	6690	10240	321	3131	16636	8762	17644	17516	7029
CYFIP1	9058	6089	3991	958	4975	12654	6932	11713	10598	7766
CYFIP2	914	2039	891	478	1863	2225	1445	2119	3261	2156
CYGB	634	948	348	139	770	1949	1272	1894	2092	1362
CYHR1	3479	2468	832	696	1634	2995	1493	2580	2053	2178
CYLD	518	1979	949	126	612	2394	1978	2642	2554	2267
CYP1B1	210	383	106	1	9	268	631	443	275	581
CYP20A1	498	1253	969	144	496	1313	1424	1421	1217	1595
CYP26B1	86	120	39	4	45	387	275	667	138	436
CYP27A1	741	3352	422	399	1076	4207	1797	3646	2333	18424
CYP27B1	143	139	178	48	97	58	22	45	38	31
CYP2B6	297	412	1279	267	1699	948	116	1200	1492	9744
CYP2C18	1	27	9	1	81	526	84	383	635	6552
CYP2D6	15	63	18	5	84	199	74	229	59	18361
CYP2D7	31	52	32	11	45	13	5	8	4	37
CYP2E1	5	30	8	6	17	8	21	14	16	21
CYP2J2	285	1184	981	147	157	2391	1153	2811	1842	22865
CYP2R1	304	654	641	45	201	569	399	651	512	1015
CYP2S1	5850	13756	2062	1709	8724	5917	2004	6596	1711	19131
CYP2T1P	27	46	17	30	25	54	39	67	35	82
CYP2U1	145	356	164	14	71	480	610	668	454	1801
CYP2W1	506	311	73	81	6003	147	121	52	23	60
CYP39A1	107	304	805	28	128	155	188	253	111	125
CYP3A5	157	1855	1450	124	1529	1613	1381	3110	1437	29570
CYP3A7	5	30	24	12	8	30	8	32	9	307
CYP4F11	490	413	609	99	527	587	307	984	460	4711
CYP4F12	595	1410	251	176	792	2698	1261	4496	2703	12336
CYP4F2	84	1778	287	27	279	321	422	1151	741	39109
CYP4F3	582	1033	229	41	645	398	184	693	290	3319
CYP4F35P	1	32	7	0	21	27	13	45	26	8
CYP4V2	605	796	809	46	212	2961	1465	2244	2123	5751
CYP4X1	336	303	3795	26	28	88	66	98	78	52
CYP51A1	798	489	354	245	765	374	891	415	644	464
CYP7B1	22	104	22	1	9	32	81	26	29	36
CYR61	2768	2522	1088	973	860	2956	3348	6043	1848	868
CYS1	65	240	32	24	29	633	791	377	280	555
CYSLTR1	17	117	43	4	16	195	99	286	252	138
CYSLTR2	13	41	12	0	14	77	46	104	133	159
