	TCGA-A6-2671-01A	TCGA-A6-2675-01A	TCGA-A6-2678-01A	TCGA-A6-2679-01A	TCGA-A6-2680-01A	TCGA-A6-2671-11A	TCGA-A6-2675-11A	TCGA-A6-2678-11A	TCGA-A6-2679-11A	TCGA-A6-2680-11A
TMEM203	1021	1171	1324	268	698	2268	1266	2182	1574	2599
TMEM204	436	590	223	198	534	619	462	742	613	816
TMEM205	2242	1774	912	689	1035	2350	1374	1686	1479	2816
TMEM206	216	470	219	82	337	211	103	212	211	123
TMEM208	667	1626	1529	804	1116	2006	897	1512	1842	2552
TMEM209	658	1186	973	64	575	1056	639	1621	1050	1640
TMEM211	32	239	1124	61	38	8	2	5	25	0
TMEM214	4595	7797	3913	793	3230	6840	4691	5778	6236	5654
TMEM216	273	762	565	201	394	513	304	612	465	567
TMEM217	16	24	26	0	9	22	155	37	33	46
TMEM218	125	454	475	97	227	636	406	668	544	523
TMEM219	2105	3710	3875	1261	2079	7254	3253	6246	5427	11729
TMEM220	27	121	88	39	168	1407	482	823	556	8270
TMEM220-AS1	4	35	19	0	7	173	69	325	156	556
TMEM222	1894	1371	1186	655	955	2284	1372	1732	1751	2868
TMEM223	265	697	746	219	322	986	582	1008	760	789
TMEM229B	136	328	597	116	282	387	332	856	1787	2123
TMEM230	1704	3679	3065	546	1555	4669	2565	5500	3525	4486
TMEM231	331	210	273	82	428	283	285	338	206	263
TMEM232	5	30	27	5	8	24	33	45	16	44
TMEM233	9	21	17	0	9	20	14	16	23	27
TMEM234	519	551	356	125	228	424	300	452	408	317
TMEM236	32	1551	450	46	119	6951	2138	9183	6262	10045
TMEM237	294	348	319	9	115	315	365	366	301	255
TMEM238	1950	234	207	3280	1902	1624	249	877	1082	954
TMEM240	45	21	2	1	29	57	89	53	20	58
TMEM241	311	307	195	56	204	243	194	246	207	188
TMEM242	216	544	305	79	226	971	703	1155	750	964
TMEM243	413	701	561	294	547	521	374	698	490	584
TMEM245	1142	2868	3307	50	1390	3787	5285	5547	2420	8812
TMEM246	1011	1392	1156	175	930	3926	1707	4366	2778	1813
TMEM248	4680	6609	6555	1387	4448	9184	6276	9007	7002	8913
TMEM25	135	160	153	2	29	474	634	611	235	5091
TMEM251	79	490	239	21	91	812	473	892	626	855
TMEM253	0	82	8	2	53	472	247	509	367	3439
TMEM254	171	695	731	144	181	1668	1074	2139	1232	1082
TMEM255A	38	130	23	1	21	164	174	391	138	146
TMEM255B	361	526	102	154	1292	118	138	146	124	123
TMEM256	125	730	277	66	133	1105	594	1149	1055	4995
TMEM256-PLSCR3	47	15	3	0	22	10	13	19	5	7
TMEM258	2103	2253	2498	1172	3002	3225	1493	2998	3086	2821
TMEM259	5034	4468	2522	1567	4770	7155	3932	5970	6050	6198
TMEM26	23	103	95	0	33	64	48	150	79	61
TMEM260	220	1128	621	39	287	925	641	1296	952	1140
TMEM261	1460	1269	2237	1010	2480	2844	1500	2472	1932	1568
TMEM262	21	38	20	16	25	26	16	62	36	25
TMEM263	325	1236	1175	58	278	1232	1258	1283	983	2025
TMEM27	2	10	18	2	8	10	5	35	18	25
TMEM30A	2107	5801	3729	331	1742	7696	7086	8386	6654	7096
TMEM30B	846	2768	1528	231	1337	7865	4683	9013	5471	9195
TMEM33	962	2633	4317	117	1080	3378	2128	3707	2798	3214
TMEM35	72	124	10	1	2	722	2137	544	143	859
TMEM37	98	1670	183	77	122	7480	2606	9124	6436	11739
TMEM38A	158	422	78	43	107	465	286	443	224	308
TMEM38B	256	1142	1033	52	601	930	633	1270	647	1140
TMEM39A	1118	1449	1024	145	668	871	623	1417	955	997
TMEM39B	695	578	263	129	391	705	445	785	621	627
TMEM41A	1099	1328	1176	217	955	919	696	997	761	5753
TMEM41B	858	1543	1924	184	486	1833	1189	2023	1642	3528
TMEM42	254	346	319	109	159	435	231	489	341	397
TMEM43	3665	4555	2746	271	1438	3569	5314	4623	2827	3590
TMEM44	766	1147	593	251	580	2010	800	2054	1399	512
TMEM44-AS1	52	94	91	16	91	217	80	239	148	424
TMEM45A	118	304	130	5	28	213	284	378	193	145
TMEM45B	1912	7527	2073	1170	4496	21464	8271	15642	14720	23751
TMEM47	218	833	508	28	128	1322	2623	1931	829	1482
TMEM5	427	599	652	107	327	611	450	767	513	494
TMEM50A	2790	5355	5166	406	1617	10111	4939	8532	7301	8556
TMEM50B	513	1757	1698	168	602	2268	1962	2447	2057	2404
TMEM51	1049	1353	845	152	543	1778	1358	1913	1370	2020
TMEM51-AS1	98	140	120	6	38	125	83	203	73	162
TMEM52	363	102	116	84	118	149	59	121	124	309
TMEM53	416	686	310	480	496	1692	649	1471	1554	1651
TMEM54	5821	6025	5416	4435	6756	28878	10869	18353	31783	12657
TMEM55A	256	339	297	30	209	396	613	376	180	359
TMEM55B	706	1571	559	475	819	1924	1119	1956	1557	2556
TMEM56	103	1143	2901	58	323	4556	1626	3824	3346	5543
TMEM56-RWDD3	1	29	29	0	4	20	19	44	31	34
TMEM57	1009	1924	1228	119	415	2057	1332	2140	1592	2884
TMEM59	5147	15326	13485	1270	3934	36702	14984	33846	20278	40833
TMEM60	251	519	507	38	251	704	411	848	642	676
TMEM61	16	53	66	6	5	235	71	282	172	119
TMEM62	499	1494	1181	118	1252	1544	895	1666	1566	2587
TMEM63A	7323	10664	5791	2351	5508	4247	3123	5963	4017	2284
TMEM63B	1698	2430	1899	432	2312	6099	2553	5856	4677	4211
TMEM63C	140	541	87	76	186	829	591	1720	569	444
TMEM64	489	948	135	60	54	846	1320	1006	597	2045
TMEM65	465	1094	570	58	208	1448	895	1868	1477	889
TMEM67	242	360	151	4	98	156	148	179	151	107
TMEM68	127	1095	549	32	307	815	542	1153	744	922
TMEM69	329	795	956	101	266	1219	795	1351	1006	1084
TMEM70	950	1081	1368	223	794	1464	857	1753	981	1067
TMEM71	12	73	76	19	10	90	226	103	144	283
TMEM72	11	141	23	4	109	2257	188	1975	840	43
TMEM74B	566	326	36	19	382	63	42	48	22	647
TMEM79	268	221	145	34	331	258	160	281	200	264
TMEM80	557	626	717	72	406	819	574	1128	698	985
TMEM81	22	41	45	1	38	65	34	56	54	71
TMEM82	29	100	42	35	78	1231	293	1182	1241	3163
TMEM86A	147	381	122	31	92	231	132	462	305	157
TMEM86B	26	44	10	8	23	61	32	43	56	232
TMEM87A	1145	3685	2286	118	1255	4912	2535	5943	3809	3028
TMEM87B	1538	4451	2879	222	1667	6018	3844	6736	4323	7671
TMEM88	44	57	16	8	45	142	103	132	118	246
TMEM8A	5825	5548	3519	2698	5767	12056	4367	8083	9983	9432
TMEM8B	841	845	397	370	643	1579	1286	1722	1253	952
TMEM9	1851	2245	3550	2102	2183	2186	1918	2143	1803	1808
TMEM91	51	76	23	9	44	100	118	126	77	77
TMEM92	195	249	412	71	204	161	104	297	174	7348
TMEM97	1976	2089	1488	192	1661	970	1557	1260	1165	783
TMEM98	2857	3830	2619	723	2761	7980	3036	8601	4688	11928
TMEM99	95	190	99	85	103	365	192	432	233	351
TMEM9B	1280	2908	2889	321	1018	6179	3170	5710	4309	6457
TMEM9B-AS1	68	69	58	1	21	73	44	131	52	38
TMF1	533	2324	1560	43	496	2441	2281	3003	2050	4082
TMIGD2	2	9	11	32	35	130	9	110	238	109
TMLHE	325	495	263	40	356	674	419	913	474	835
TMOD1	45	74	12	12	6	498	1317	489	227	629
TMOD2	175	529	85	16	97	651	1644	1111	859	905
TMOD3	943	3310	3393	118	1370	5945	4633	6325	5052	4317
TMPO	2209	4173	7339	282	2185	5090	3118	5232	4456	4623
TMPO-AS1	52	76	119	25	53	87	50	115	115	77
TMPPE	60	116	77	18	54	138	94	167	124	180
TMPRSS13	87	167	632	9	101	48	38	55	53	206
TMPRSS2	3151	11323	5614	1409	7532	29818	25777	29316	29870	19351
TMPRSS3	518	103	472	155	257	141	23	167	109	78
TMPRSS4	3996	10147	8830	1583	7042	22522	8941	16222	14139	9035
TMPRSS5	1	14	16	34	4	0	5	13	20	10
TMPRSS6	9	33	4	3	20	134	21	27	10	38
TMPRSS9	8	22	3	0	12	24	20	30	28	27
TMSB10	55525	35077	49475	18228	25353	50469	23333	43670	54807	57308
TMSB4X	38387	73685	44274	23134	52827	104110	34814	94891	90475	73629
TMSB4XP4	51	35	69	9	40	77	8	63	69	44
TMSB4XP8	249	87	1013	127	233	303	26	251	208	150
TMTC1	121	506	127	19	102	1037	1871	1139	718	1106
TMTC2	270	896	1094	105	304	959	1566	1232	622	638
TMTC3	187	868	612	43	143	666	893	987	605	881
TMTC4	880	1321	1720	154	1843	1031	669	1543	915	1415
TMUB1	1813	1673	1170	767	1835	3624	1419	2809	2496	4475
TMUB2	1167	2062	1073	233	1013	2536	1437	3067	1768	2258
TMX1	639	2709	1517	77	659	2967	2040	3374	2755	2808
TMX2	1249	4033	4309	359	2197	5298	3333	5213	4411	5061
TMX2P1	111	86	121	17	52	78	64	137	76	232
TMX3	439	977	876	35	401	928	1274	1362	1085	1168
TMX4	1201	2040	1920	217	1273	2627	3791	2650	2066	4978
TNC	6118	6422	1452	310	2542	9072	23563	4764	2805	11527
TNF	16	68	25	12	26	33	29	13	52	51
TNFAIP1	1866	3289	1192	374	1820	3075	2226	3163	2336	3312
TNFAIP2	1024	2590	502	196	1089	1196	1667	1772	2522	1333
TNFAIP3	1123	2771	1053	192	960	3113	2318	3234	4653	4204
TNFAIP6	119	348	77	7	34	69	131	37	50	110
TNFAIP8	137	615	473	44	170	586	457	823	1059	622
TNFAIP8L1	751	647	406	208	553	1479	2396	1368	1153	2151
TNFAIP8L2	82	115	79	51	52	185	81	224	343	165
TNFAIP8L3	44	224	50	17	23	364	404	497	408	212
TNFRSF10A	238	373	598	85	429	387	490	693	477	580
TNFRSF10B	916	1385	1683	234	1637	1794	1567	2172	1679	5451
TNFRSF10C	38	87	40	14	31	34	27	36	32	182
TNFRSF10D	98	270	353	22	147	976	533	1444	382	1558
TNFRSF11A	606	1521	832	197	987	4326	2910	4894	4200	3751
TNFRSF11B	291	433	234	23	177	247	200	251	182	208
TNFRSF12A	2125	2549	672	576	1640	410	719	281	389	2405
TNFRSF13C	12	28	8	7	26	63	19	246	217	94
TNFRSF14	1907	3611	2622	1407	1857	5805	1997	5420	6265	7635
TNFRSF17	1	40	18	26	35	736	123	665	1242	97
TNFRSF18	46	98	59	99	68	214	49	259	249	90
TNFRSF19	120	93	44	16	216	118	133	197	102	105
TNFRSF1A	2769	5090	2194	1624	3234	13062	9169	9598	9965	17851
TNFRSF1B	3099	3869	1676	586	2209	4545	2695	3493	6062	5873
TNFRSF21	3033	5261	3203	448	3680	8192	8089	6643	7212	4399
TNFRSF25	661	661	153	202	485	965	283	801	406	358
TNFRSF4	75	143	63	63	165	91	48	137	166	39
TNFRSF8	20	49	22	10	22	43	66	52	55	31
TNFRSF9	39	238	170	18	38	31	29	35	98	17
TNFSF10	1351	5264	2225	314	659	9267	4455	8635	11225	13690
TNFSF11	34	244	114	11	70	9	33	21	51	11
TNFSF12	242	708	185	126	257	1355	1655	1114	871	1062
TNFSF13	147	766	193	218	287	1465	824	1364	1449	1072
TNFSF13B	89	462	182	6	49	156	183	166	321	169
TNFSF14	35	85	33	49	18	97	40	79	324	94
TNFSF15	166	452	1112	50	247	251	392	171	195	5418
TNFSF4	67	553	173	8	46	119	65	117	56	35
TNFSF8	26	57	14	3	14	61	44	124	109	47
TNFSF9	154	186	39	222	57	74	36	38	45	30
TNIK	626	1813	1274	73	617	2112	1569	3690	2463	6832
TNIP1	5701	7404	5786	1278	4031	19557	9348	19178	15930	21863
TNIP2	1276	2902	1325	474	1229	2771	1616	2832	2583	3591
TNIP3	4	33	30	27	13	26	15	14	102	10
TNK1	604	664	262	172	508	1784	767	1936	1705	1965
TNK2	2063	1833	740	423	2450	1998	1660	1849	2231	827
TNKS	449	1179	1148	44	509	1745	1688	2863	1684	2681
TNKS1BP1	3494	6760	3430	770	3796	8657	6801	8705	7717	6657
TNKS2	702	2353	1349	81	1018	2326	2367	3265	2088	2676
TNMD	11	91	38	6	24	28	15	61	52	22
TNNC1	172	30	84	1	236	24	18	30	4	11
TNNC2	742	1363	74	117	345	499	143	385	216	1378
TNNI1	107	112	136	58	118	310	234	202	238	506
TNNT1	247	5	15	8	17	7	3	14	11	18
TNNT2	28	26	14	7	26	8	30	17	7	9
TNPO1	1666	4459	4607	113	1809	4240	4243	5259	3423	5686
TNPO2	4214	4108	1983	433	2242	2913	2788	3503	2587	2241
TNPO3	2080	3655	2094	300	2110	3208	2883	4041	2826	3058
TNRC18	11896	8029	3900	2145	7302	11741	8655	9537	9212	5969
TNRC6A	1096	1981	1133	118	749	1724	2469	2494	1653	2489
TNRC6B	550	1280	1160	32	378	2133	1868	3129	2041	2215
TNRC6C	367	810	371	98	283	717	688	838	697	760
TNRC6C-AS1	75	256	181	45	135	231	111	199	339	273
TNS1	5000	6029	961	167	1025	35580	83140	19613	6013	20261
TNS2	1309	1918	455	167	770	4159	6214	5322	2296	3277
TNS3	4424	9289	3489	617	3781	9436	5904	10528	7906	11189
TNS4	7094	3218	7625	891	2974	702	527	849	318	150
TNXB	758	635	44	40	91	9019	16192	9353	4862	3803
TOB1	1713	4889	2380	672	2798	4219	3157	3662	4151	6454
TOB1-AS1	31	43	38	17	41	60	55	66	45	102
TOB2	2233	3394	2357	329	1371	3835	3278	5459	3919	6496
TOE1	850	548	371	128	393	1108	589	1071	988	839
TOLLIP	3783	3063	1615	1282	2148	5665	3119	5401	3761	5799
TOLLIP-AS1	31	20	23	14	25	76	34	40	62	49
TOM1	1350	3265	1043	466	1138	4596	1755	3847	3592	8018
TOM1L1	621	1608	1745	91	854	1912	1206	2377	1187	4174
TOM1L2	1639	2369	804	249	1780	6710	5168	6073	4951	5884
TOMM20	2994	7337	9990	2178	6431	9766	5946	12700	6519	9825
TOMM22	1606	3332	3375	686	1894	4180	2763	4286	3602	3699
TOMM34	2578	4826	1642	298	2534	1762	1068	1452	972	1607
TOMM40	4950	3879	2515	874	4098	3546	2605	2838	3394	1820
TOMM40L	479	581	489	126	414	1241	976	1503	1055	1395
TOMM5	1456	684	835	560	915	863	567	789	737	883
TOMM7	3880	2845	2519	2434	3583	6361	4214	6438	4324	7715
TOMM70A	2151	3918	4513	189	1713	4130	3842	5137	3242	4286
TONSL	1705	812	736	317	1066	825	484	822	868	1162
TOP1	3356	8087	3479	317	2894	5602	6133	6065	5841	5240
TOP1MT	5134	3125	1438	505	1752	1628	717	1359	978	569
TOP2A	3072	3770	5950	127	1766	2672	1411	4382	3633	1738
TOP2B	3103	6123	4383	105	1497	6109	6638	7386	4983	6366
TOP3A	681	944	421	135	411	1083	975	1333	1146	973
TOP3B	10	33	14	0	14	24	21	32	37	43
TOPBP1	1194	1613	1676	50	925	1301	1305	1806	1461	1366
TOPORS	441	981	838	6	262	1169	972	1436	977	1551
TOPORS-AS1	36	47	89	24	67	171	85	148	141	232
TOR1A	1882	1779	1455	404	1274	2664	1616	2714	1900	2443
TOR1AIP1	721	1677	1442	62	656	2890	4286	3564	2231	2748
TOR1AIP2	1410	1736	2508	197	1058	2760	1722	3471	2869	10553
TOR1B	1695	3000	1604	432	1194	3692	1892	3594	2298	2923
TOR2A	765	700	590	450	672	2066	621	1522	1409	1401
TOR3A	1402	1699	1798	444	1766	2612	1406	2565	3081	1960
TOR4A	2545	1502	2193	1761	3926	6073	3393	4533	4754	3378
TOX	48	341	146	19	137	1126	1217	1601	982	1548
TOX2	73	129	49	54	46	369	252	412	362	145
TOX3	1020	2650	5703	200	1563	2162	1357	2682	1590	1607
TOX4	1353	3470	1220	229	1431	4598	3586	5209	3634	5246
TP53	366	1402	581	1114	507	4218	2387	4898	3728	2215
TP53BP1	1162	1233	931	96	941	1430	2023	1889	1239	679
TP53BP2	1234	1626	1342	116	906	1888	1548	2087	1539	2046
TP53I11	10582	9869	3596	1927	3096	7995	4554	7840	5920	4348
TP53I13	811	981	531	575	1088	1955	742	1655	1478	2608
TP53I3	845	1330	871	317	911	4051	1911	4614	3420	3721
TP53INP1	593	1165	418	77	326	3085	1181	3103	2397	2422
TP53INP2	1515	3879	682	137	1010	18142	11569	11777	15586	7651
TP53RK	1066	1428	901	332	1021	905	627	1081	747	833
TP53TG1	172	448	228	61	244	1095	474	1400	936	1688
TP53TG5	38	60	20	0	35	39	40	54	29	52
TP73	431	110	43	63	28	87	29	36	72	10
TP73-AS1	116	235	66	8	63	493	852	683	378	479
TPBG	350	791	226	48	604	531	714	689	453	432
TPCN1	2016	3926	2446	518	1990	6586	3027	7504	5100	6669
TPCN2	366	765	539	66	300	889	846	904	887	1672
TPD52	2539	5686	8706	350	2261	12034	6171	11608	8827	10487
TPD52L1	933	1063	874	283	138	802	1205	682	390	538
TPD52L2	6750	5947	3784	1569	4109	5139	4468	5253	3825	6148
TPGS1	454	51	200	243	274	397	80	205	307	290
TPGS2	1576	1234	1331	297	1363	2097	1352	2509	2336	2308
TPI1	20555	17069	18706	5453	18656	34366	15955	30821	26020	43515
TPI1P1	421	27	352	144	88	97	20	87	66	142
TPK1	55	456	141	24	184	746	451	574	537	939
TPM1	6776	11854	10377	1233	5654	50155	90318	30798	15645	61246
TPM2	7431	4877	1569	808	1756	39336	97120	19382	3480	47797
TPM3	11704	16649	16927	2538	11659	24763	13895	23125	25171	23350
TPM3P9	145	141	102	31	120	204	98	136	219	191
TPM4	16450	32181	22355	1273	8955	17995	19120	15221	15122	14600
TPMT	839	2827	1253	191	1227	5373	3380	4587	5331	5097
TPP1	4514	10211	3677	904	3657	11466	6995	13734	9786	17431
TPP2	1695	2284	2634	176	1674	2089	1864	2813	1939	1396
TPPP	529	1261	18	19	966	1513	1761	785	550	5937
TPPP3	432	843	198	121	898	1367	1461	897	1052	4960
TPR	2633	4000	3213	215	2108	4276	4823	5274	4011	4492
TPRA1	1393	1500	1093	302	1027	1764	957	1790	948	2361
TPRG1	17	26	40	2	17	29	30	36	45	14
TPRG1L	4229	3908	2874	1496	2429	10479	5262	9245	6566	15043
TPRKB	449	699	575	84	261	899	532	972	780	1250
TPRN	3966	2736	1738	1980	3128	9530	2849	8157	8084	8506
TPSAB1	239	658	167	315	112	964	849	1364	2764	487
TPSB2	90	439	163	61	151	600	383	1580	937	1516
TPSG1	15	553	95	107	302	1625	605	1369	1068	1658
TPST1	126	323	106	48	83	307	346	380	273	266
TPST2	811	1297	1417	371	731	1408	760	1534	1591	1551
TPT1	53270	106416	61393	14981	82353	140730	85598	179524	120403	225058
TPT1-AS1	191	458	222	54	294	356	312	478	251	644
TPT1P4	85	11	16	55	35	25	12	22	17	35
TPT1P9	217	10	56	107	125	40	9	53	40	37
TPTE2P5	5	13	18	21	6	19	9	38	21	26
TPTEP1	16	177	12	2	23	155	603	105	124	129
TPX2	4934	3952	2892	323	2407	1704	839	2288	2287	859
TRA2A	1145	2798	1528	235	985	2404	2456	2776	2314	1638
TRA2B	4735	4460	5160	464	2925	4631	4550	5545	5116	4678
TRABD	2198	1722	1617	1179	1969	2502	1448	2297	2624	1940
TRABD2A	4039	3099	2613	583	2756	6633	4326	6249	4415	2021
TRABD2B	39	92	10	14	37	151	376	212	180	137
TRAC	242	771	478	446	292	1227	541	1048	4321	898
TRADD	577	850	583	450	741	1488	618	1178	1339	978
TRAF1	429	569	305	98	302	273	281	340	715	310
TRAF2	1546	1216	872	402	856	1333	730	1432	1339	1307
TRAF3	1230	1934	941	263	919	2797	2221	3657	2559	3619
TRAF3IP1	680	1176	702	52	406	997	1222	961	773	1090
TRAF3IP2	396	1335	648	149	1041	3828	1937	4157	3172	2560
TRAF3IP2-AS1	25	55	30	6	38	67	92	81	67	73
TRAF3IP3	29	225	77	31	30	215	118	252	653	173
TRAF4	3307	3104	1184	1688	3751	5109	1571	4847	3539	8281
TRAF5	654	2247	2657	192	1337	630	828	1115	815	558
TRAF6	640	822	466	66	311	936	706	1047	729	1257
TRAF7	6078	5572	3651	1912	5229	8061	4381	8315	6366	9325
TRAFD1	1119	1875	1447	183	876	2842	1956	2516	3939	2297
TRAIP	587	201	284	85	280	195	108	193	256	167
TRAK1	2435	4933	2939	227	2027	7535	5606	8768	5855	12591
TRAK2	823	2920	1921	111	747	5111	4218	6674	3347	4665
TRAM1	1356	11289	6395	234	2153	8754	6223	9787	8041	11954
TRAM1L1	12	30	39	0	4	38	66	56	37	31
TRAM2	1033	2775	1695	78	908	3138	3139	4162	3895	4833
TRAM2-AS1	90	180	276	2	104	260	190	298	241	444
TRANK1	902	2536	882	126	748	9072	4446	7669	9810	7525
TRAP1	6964	5072	3854	1212	5311	2837	1925	3257	2611	1695
TRAPPC1	3171	1968	1150	795	2061	4632	2201	3641	3473	4159
TRAPPC10	748	1803	1131	128	879	2210	1667	2617	2067	2197
TRAPPC11	798	1214	1482	91	449	1902	1426	2343	1685	1899
TRAPPC12	1806	1219	1137	585	1268	2419	1584	2239	1771	2174
TRAPPC12-AS1	9	23	14	1	5	36	40	47	21	12
TRAPPC13	267	515	796	20	370	743	630	899	661	978
TRAPPC2	272	660	814	58	374	549	420	896	609	599
TRAPPC2B	41	92	125	40	64	137	136	210	154	154
TRAPPC2L	1680	1229	589	924	1258	1776	906	1410	1321	1810
TRAPPC3	2237	1671	1730	527	1031	2795	1736	2615	2086	3416
TRAPPC4	1212	2009	1678	572	1088	2440	1349	2160	1581	2558
TRAPPC5	135	18	109	54	79	69	26	49	92	32
TRAPPC6A	1106	1172	821	337	806	1549	641	1684	1016	1038
TRAPPC6B	230	888	405	23	247	981	928	1166	736	982
TRAPPC8	444	1600	1009	35	580	2515	2175	3077	1988	3545
TRAPPC9	2364	2413	1191	317	1513	2630	1567	2644	2554	3112
TRBC2	134	370	312	276	199	864	227	607	2561	672
TRBV20-1	8	33	11	4	14	33	22	17	117	28
TRBV28	30	143	33	55	41	201	95	147	561	196
TRDMT1	100	209	149	6	84	287	221	257	210	381
TREH	11	59	128	43	37	104	55	209	81	14655
TREM1	134	358	81	1	49	19	16	19	20	33
TREM2	198	400	237	25	69	201	41	204	79	33
TREML2	19	33	7	7	48	31	13	39	27	15
TRERF1	104	400	206	8	258	570	524	797	723	381
TREX2	19	32	3	3	12	14	10	18	15	6
TRG-AS1	3	30	28	11	16	103	32	84	244	97
TRHDE	2	69	74	1	21	434	112	539	261	1300
TRIAP1	562	826	835	153	452	1020	643	937	775	1175
TRIB1	4847	4111	2649	361	3312	8956	3458	6588	5552	5533
TRIB2	437	733	268	61	203	727	982	767	984	704
TRIB3	5068	2337	2384	1076	4228	370	187	265	251	187
TRIL	117	232	114	26	125	432	392	330	420	308
TRIM10	55	96	110	1	78	351	252	338	306	383
TRIM11	1934	1276	987	485	1239	2016	936	1929	1826	1672
TRIM13	431	1133	1707	96	567	1380	851	1752	1221	1401
TRIM14	2074	3158	2183	255	1765	5465	2355	5133	6533	6911
TRIM15	773	762	628	409	1236	2831	1364	1785	2853	3560
TRIM16	604	793	276	85	383	615	640	592	371	616
TRIM16L	63	117	52	4	67	237	329	321	125	120
TRIM2	3289	5837	12015	401	2415	6213	4374	8551	6254	6308
TRIM21	1339	1544	1529	381	681	1711	1028	1671	2512	1722
TRIM22	824	2016	540	103	250	1026	1127	1132	2805	1116
TRIM23	136	290	221	4	82	382	510	538	306	397
TRIM24	1038	1588	1534	128	1130	1774	979	2329	1833	1664
TRIM25	2745	3768	3405	376	1946	6967	6120	7898	5813	4374
TRIM26	2616	3801	1530	491	2548	3985	2568	4062	4516	5268
TRIM27	2696	3239	1605	796	1763	2373	1826	2803	2227	2061
TRIM28	23017	15030	12801	6480	14006	14306	10232	13814	11135	10920
TRIM29	5486	7468	1213	765	827	303	335	92	94	59
TRIM3	673	789	266	145	940	1266	968	1485	1035	2917
TRIM31	319	3401	1864	509	1655	9659	8702	4275	10527	3323
TRIM31-AS1	20	51	25	15	35	32	23	26	21	18
TRIM32	913	619	829	91	418	775	762	953	661	2175
TRIM33	470	1798	1387	29	572	1431	1767	2023	1399	1870
TRIM34	8	41	7	0	4	32	11	33	38	31
TRIM35	369	615	463	138	499	948	817	1183	1045	1637
TRIM36	52	395	945	4	187	1399	630	1226	1290	1830
TRIM37	514	1122	977	23	466	1086	1120	1164	799	911
TRIM38	419	1164	949	75	399	1569	1152	2228	1561	3073
TRIM39	264	433	151	38	203	481	487	558	406	623
TRIM4	681	2201	1225	159	810	1388	1380	2378	1615	2193
TRIM40	3	80	26	18	85	318	793	116	697	860
TRIM41	1364	1466	668	291	1149	1850	1040	2070	1590	1613
TRIM44	5190	5956	4346	291	2216	4812	5520	5685	4057	5340
TRIM45	50	73	122	2	44	72	108	134	74	87
TRIM46	29	92	15	13	25	23	20	33	36	6
TRIM47	1535	2086	1711	350	419	1807	1844	1351	1297	2137
TRIM5	736	1273	622	48	380	797	763	858	957	935
TRIM52	160	350	292	27	200	320	313	528	352	432
TRIM52-AS1	93	223	114	107	68	544	412	495	247	374
TRIM56	2085	4167	2044	324	1740	3931	3361	5198	4635	3631
TRIM59	246	290	493	30	94	155	127	263	249	147
TRIM6	28	92	24	0	4	88	123	84	23	56
TRIM60P18	18	32	28	1	18	24	22	31	22	17
TRIM62	244	356	119	22	146	449	272	487	407	399
TRIM65	1115	2440	1037	193	551	1027	947	1076	1010	849
TRIM66	309	542	341	25	255	473	236	867	504	738
TRIM68	890	915	830	90	373	842	796	1176	897	418
TRIM69	562	1033	1808	100	602	1835	1484	1307	3495	1504
TRIM7	19	48	22	17	28	116	107	89	71	26
TRIM8	1642	3174	1152	382	1865	4579	3572	4080	3206	6474
TRIM9	22	40	10	0	0	202	406	658	122	62
TRIO	3503	8419	2046	329	2636	5253	4162	7881	4247	2853
TRIOBP	374	1042	714	139	609	2487	2281	2103	1764	1861
TRIP10	2818	2685	1332	792	2165	3707	2855	3598	2805	3458
TRIP11	306	1673	793	33	365	1720	1825	2485	1607	1633
TRIP12	3980	6301	5844	228	2820	6995	7658	8157	6590	6811
TRIP13	1094	464	690	86	656	221	121	251	287	185
TRIP4	312	769	786	43	436	1722	1105	1850	1671	1804
TRIP6	4606	1756	1288	651	2182	2071	2075	1314	1331	1075
TRIQK	263	1322	1810	11	265	1635	902	2270	1286	1326
TRIT1	387	915	767	31	273	488	536	850	599	575
TRMT1	2424	2134	977	621	1605	1092	778	1151	966	815
TRMT10A	57	159	252	6	67	285	208	395	236	502
TRMT10B	235	329	254	46	137	265	358	451	270	357
TRMT10C	546	982	1356	84	440	911	767	1194	860	1035
TRMT11	305	512	331	100	281	339	321	520	342	457
TRMT112	2689	4202	2988	1499	2919	2771	2163	2554	2352	3115
TRMT12	606	523	408	40	209	541	414	648	405	437
TRMT13	92	551	373	10	106	321	333	508	295	340
TRMT1L	370	828	890	46	363	1044	874	1393	1012	1077
TRMT2A	535	1014	566	304	850	902	732	939	991	827
TRMT2B	719	1564	811	113	715	1094	708	1588	907	1142
TRMT44	173	447	349	27	126	363	380	514	375	339
TRMT5	291	940	532	59	231	671	635	883	549	616
TRMT6	756	1187	786	143	936	628	563	678	475	627
TRMT61A	1158	1593	382	745	1082	1298	1200	1152	1017	878
TRMT61B	376	453	376	33	216	453	397	540	311	1042
TRMU	612	953	730	217	590	722	596	964	856	707
TRNAU1AP	501	421	370	112	267	783	512	722	638	632
TRNP1	160	77	16	38	38	173	279	198	135	327
TRNT1	253	507	678	43	229	492	519	782	388	401
TRO	84	202	50	13	67	91	239	102	119	169
TROAP	618	399	521	116	480	328	161	399	442	219
TROVE2	343	965	916	53	323	1051	1158	1476	820	1235
TRPA1	25	429	285	19	391	470	760	1895	765	2063
TRPC1	46	133	33	21	18	153	344	186	94	218
TRPC4	20	33	7	0	25	22	109	30	25	80
TRPC4AP	5873	11969	3053	1609	3945	6034	3542	6750	5428	5330
TRPC6	31	87	49	0	18	100	220	169	140	150
